# Pathway	ERR2619707_1_Abundance	ERR2619708_1_Abundance	ERR2619709_1_Abundance	ERR2619710_1_Abundance	ERR2619711_1_Abundance	ERR2619712_1_Abundance	ERR2619713_1_Abundance	ERR2619714_1_Abundance	ERR2619715_1_Abundance	ERR2619717_1_Abundance	ERR2619718_1_Abundance	ERR2619719_1_Abundance	ERR2619720_1_Abundance	ERR2619724_1_Abundance	ERR2619725_1_Abundance	ERR2619726_1_Abundance	ERR2619728_1_Abundance	ERR2619729_1_Abundance	ERR2619730_1_Abundance
UNMAPPED	0.704882	0.444867	0.598882	0.457845	0.642488	0.507442	0.0694653	0.689434	0.528797	0.660519	0.5102	0.532334	0.565726	0.439072	0.499024	0.666817	0.466655	0.488641	0.550407
UNINTEGRATED	0.262834	0.50493	0.354069	0.486494	0.313058	0.44398	0.846144	0.271892	0.41951	0.301231	0.442547	0.423242	0.394773	0.504474	0.443649	0.29268	0.49529	0.457965	0.40434
1CMET2-PWY: folate transformations III (E. coli)	0.000273317	0.000392691	0.000323131	0.000429145	0.000343961	0.000369198	0.000307862	0.000343263	0.000323489	0.000248574	0.000451091	0.000225298	0.000342645	0.000378119	0.000379532	0.000210055	0.000310098	0.000413247	0.000473044
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY: 4-hydroxyphenylacetate degradation	0	0	0	4.34452e-06	0	0	7.07068e-05	0	0	4.20734e-06	0	0	0	1.78234e-05	7.59675e-06	0	3.45911e-06	3.05687e-06	1.17615e-06
AEROBACTINSYN-PWY: aerobactin biosynthesis	0	1.81561e-06	0	0	0	0	8.57366e-07	0	0	0	0	3.42162e-05	0	0	0	0	0	2.52748e-06	3.89424e-06
ALLANTOINDEG-PWY: superpathway of allantoin degradation in yeast	0	1.24646e-06	2.47007e-06	2.35997e-06	3.25677e-06	0	0	3.00351e-06	9.64176e-06	4.94061e-06	0	4.93545e-06	2.02986e-06	6.08587e-07	2.05055e-06	7.21867e-06	1.6893e-06	2.0303e-06	2.70978e-06
ANAEROFRUCAT-PWY: homolactic fermentation	0.000228502	0.000247499	0.000294859	0.000289204	0.000215449	0.000295763	0.000303619	0.00023192	0.000263239	0.000218843	0.000148779	0.000228455	0.000147886	0.000368956	0.000266048	0.000220345	0.000203423	0.000261883	0.000340303
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	0.000361038	0.000522721	0.000472774	0.000567052	0.00047115	0.00053205	0.000439713	0.000354933	0.000440626	0.000334072	0.000578245	0.000284855	0.000431086	0.000530624	0.00054871	0.00031239	0.000424868	0.000546372	0.000493261
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis	6.5623e-05	7.67402e-05	0.000107904	0.000101907	3.13975e-05	7.95825e-05	0.000361006	3.87623e-05	0.000148875	8.82459e-05	2.41503e-05	0.000131007	2.61162e-05	0.000183486	0.000129607	0.000125441	6.46587e-05	9.10691e-05	5.96218e-05
ARGDEG-PWY: superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation	0	0	3.67915e-06	3.53136e-06	0	0	0.00015992	0	0	4.55325e-06	0	2.28338e-05	2.05209e-06	1.99534e-05	6.14731e-06	0	1.72293e-06	1.78349e-06	0
ARGININE-SYN4-PWY: L-ornithine biosynthesis II	1.61695e-05	5.81728e-05	2.65827e-05	4.88138e-05	2.98562e-05	7.68127e-05	0.000224419	0.000102696	6.19005e-05	3.58771e-05	8.34353e-05	7.49833e-05	8.2805e-05	4.19191e-05	2.67165e-05	6.70468e-05	3.62886e-05	2.82277e-05	1.73713e-05
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)	0.0002791	0.000395399	0.000348724	0.000476421	0.000439775	0.00042838	0.000387072	0.000280321	0.000386704	0.000289955	0.000230935	0.000215591	0.000264008	0.000506069	0.000511107	0.000258593	0.000226271	0.000485169	0.000426292
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)	0.000267369	0.000361478	0.000307609	0.000452271	0.000415741	0.000364213	0.000395083	0.000254484	0.000333821	0.000252285	0.000125998	0.000206179	0.000210929	0.000502287	0.000505312	0.000253507	0.000208957	0.000452019	0.000396006
ARO-PWY: chorismate biosynthesis I	0.000265228	0.000466945	0.000422586	0.000522886	0.000415343	0.000497921	0.000331672	0.000360179	0.000417336	0.000286436	0.000527266	0.000240223	0.000385814	0.000475559	0.000511329	0.000220396	0.000347814	0.000509989	0.000437973
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis	0.00016554	0.00032019	0.000204532	0.000280825	0.000223343	0.000305831	0.000560468	0.000238149	0.000241088	0.000149184	0.00042244	0.000250645	0.000334689	0.000287036	0.000220922	0.000201395	0.000281494	0.000252131	0.000231532
AST-PWY: L-arginine degradation II (AST pathway)	0	1.54189e-06	1.60721e-05	3.39884e-06	0	0	0.000161268	0	2.17005e-05	5.2391e-06	0	4.43808e-05	0	1.86393e-05	9.0097e-06	2.47847e-05	2.91606e-06	3.2439e-06	1.91756e-06
BIOTIN-BIOSYNTHESIS-PWY: biotin biosynthesis I	1.91517e-05	9.95054e-05	7.57432e-05	9.28712e-05	1.91644e-05	6.43097e-05	0.000310131	1.32945e-05	0.000118518	7.19327e-05	3.57512e-05	0.00012514	8.12651e-05	9.60112e-05	8.76922e-05	0.000101403	3.51953e-05	8.17894e-05	2.20143e-05
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched chain amino acid biosynthesis	0.000260391	0.000661881	0.000384521	0.000626265	0.000510764	0.000604789	0.000510942	0.000350019	0.000498058	0.00037344	0.000722318	0.000312876	0.000537398	0.000501744	0.000556367	0.000296876	0.000508366	0.000567665	0.000412805
CALVIN-PWY: Calvin-Benson-Bassham cycle	0.000320475	0.000490277	0.000476652	0.000557781	0.000456073	0.00049254	0.000452241	0.000398804	0.000444154	0.000320871	0.000454627	0.000294051	0.000380372	0.000567563	0.000521612	0.00036222	0.000393005	0.000530988	0.000432578
CARNMET-PWY: L-carnitine degradation I	0	1.13778e-06	3.64033e-06	7.99095e-07	0	0	4.80467e-05	0	9.92708e-06	3.17767e-06	0	1.53937e-05	0	7.16491e-06	4.2625e-06	1.10601e-05	1.07812e-06	1.68908e-06	1.93544e-06
CATECHOL-ORTHO-CLEAVAGE-PWY: catechol degradation to &beta;-ketoadipate	0	0	0	0	0	0	1.10779e-05	0	0	0	0	0	2.27712e-06	0	2.66318e-06	0	0	0	0
